,species,strain,hit_score.malYcustom,hit_score.cysKcustom,hit_score.metCcustom,hit_score.tnaA,hit_score.cysMcustom,hit_score.lcdcustom,cysteine_expected,hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604,hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509,hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352,hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351,hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490,hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489,hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416,hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1,hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2,pathway,hit_score.acrC,hit_score.lcdC,hit_score.pct,hit_score.lcdA,hit_score.lcdB,hit_score.pduP,hit_score.Roseburia-inulivorans-pduCDE,hit_score.pduW,hit_score.fucO,hit_score.pduL,hit_score.pduC,hit_score.pduD,hit_score.pduE,propionate_expected
1,Acidaminococcus fermentans,Acidaminococcus_fermentans,563.7,509,496.6,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Acidaminococcus intestini,Acidaminococcus-intestini-D21-MAF-2,546.3,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Actinobacillus capsulatus,Actinobacillus_capsulatus,469.1,485,560.8,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Actinomyces neuii,Actinomyces_neuii,NA,522.2,514.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Adlercreutzia equolifaciens,Adlercreutzia_equolifaciens,NA,522,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Aggregatibacter actinomycetemcomitans,Aggregatibacter_actinomycetemcomitans,478,480.8,549,771.1,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Aliagarivorans marinus,Aliagarivorans_marinus,NA,510.4,594.3,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Alistipes finegoldii,Alistipes_finegoldii,570.2,NA,NA,845.8,416.3,NA,yes,915,583.6,90.4,172.6,NA,NA,NA,240.3,823.5,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
15,Alistipes indistinctus,Alistipes-indistinctus-YIT-12060-MAF-2,565.1,538.4,NA,NA,NA,NA,yes,926.3,588.8,100.9,185.6,NA,NA,NA,230,824.6,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
16,Alistipes onderdonkii,Alistipes-onderdonkii-DSM-19147-MAF-2,604.1,NA,NA,847.2,431.4,NA,yes,917.1,579.8,99.2,166.4,NA,NA,NA,239.1,823.9,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
19,Alistipes shahii,Alistipes-shahii-WAL-8301-MAF-2,569.3,NA,NA,843.7,433.8,NA,yes,914.6,589.8,86.5,170.6,NA,NA,NA,239.8,817.5,sodium-pumping decarboxylase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes
21,Anaerococcus prevotii,Anaerococcus_prevotii,NA,477.2,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Anaerostipes caccae,Anaerostipes-caccae-DSM-14662-MAF-2,NA,555.8,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Anaerostipes hadrus,Anaerostipes_hadrus,545.4,525,483.4,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
